"date","station","dchl","cchl","ddo","do","dspm","cspm","ext","sal","tem","no2","no32","nh","po4","dSi","chl_merge","spm_merge","do_merge","ext_calc_linear","ext_calc_log","ext_merge"
1969-08-28,"21",NA,NA,NA,NA,6,NA,NA,30.6666666666667,15.7,0.8,NA,NA,3,30,NA,6,NA,1.0748,0.800788776895504,0.800788776895504
1969-08-28,"24",NA,NA,NA,NA,5,NA,NA,29.5,17.1666666666667,1,NA,NA,3,27,NA,5,NA,1.038,0.716110223624623,0.716110223624623
1969-08-28,"30",NA,NA,NA,NA,NA,NA,NA,26.45,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-08-28,"32",NA,NA,NA,NA,33,NA,NA,26.1,21.6,1.3,NA,NA,18.7,NA,NA,33,NA,2.0684,2.2769857175975,2.2769857175975
1969-08-28,"34",NA,NA,NA,NA,43,NA,NA,24.6,22.1,2.1,NA,NA,24.2,133,NA,43,NA,2.4364,2.67810391663568,2.67810391663568
1969-08-28,"36",NA,NA,NA,NA,9,NA,NA,23.75,21.9,3.8,NA,NA,32.3,158,NA,9,NA,1.1852,1.02674339952874,1.02674339952874
1969-10-02,"21",NA,NA,NA,NA,6,NA,NA,30.1,16.6333333333333,1.1,NA,NA,3.2,37,NA,6,NA,1.0748,0.800788776895504,0.800788776895504
1969-10-02,"32",NA,NA,NA,NA,58,NA,NA,28.9666666666667,20.4666666666667,2.8,NA,NA,19.3,100,NA,58,NA,2.9884,3.21730787077728,3.21730787077728
1969-10-02,"34",NA,NA,NA,NA,34,NA,NA,28.5666666666667,20.0666666666667,4.3,NA,NA,22.5,120,NA,34,NA,2.1052,2.31903785273006,2.31903785273006
1969-10-02,"36",NA,NA,NA,NA,18,NA,NA,27.3666666666667,20.9,8.6,NA,NA,32.2,143,NA,18,NA,1.5164,1.57033860331594,1.57033860331594
1969-12-19,"21",NA,NA,NA,NA,NA,NA,NA,27.3,11.2,1.43,NA,NA,4.5,72,NA,NA,NA,NA,NA,NA
1969-12-19,"30",NA,NA,NA,NA,NA,NA,NA,27.8,11.3,2.86,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA
1969-12-19,"32",NA,NA,NA,NA,NA,NA,NA,25.4,11.4,9.28,NA,NA,24.2,120,NA,NA,NA,NA,NA,NA
1969-12-19,"34",NA,NA,NA,NA,NA,NA,NA,24.7,11.5,11.14,NA,NA,28.7,125,NA,NA,NA,NA,NA,NA
1969-12-19,"36",NA,NA,NA,NA,NA,NA,NA,24.7,11.5,14.29,NA,NA,33.6,130,NA,NA,NA,NA,NA,NA
1970-01-27,"21",NA,NA,NA,NA,NA,NA,NA,5.3,11.2,NA,NA,NA,2.6,205,NA,NA,NA,NA,NA,NA
1970-01-27,"22",NA,NA,NA,NA,NA,NA,NA,5.3,12.2,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-01-27,"24",NA,NA,NA,NA,NA,NA,NA,10.4,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-01-27,"30",NA,NA,NA,NA,NA,NA,NA,13.5,12.8,2,NA,NA,5.2,113,NA,NA,NA,NA,NA,NA
1970-01-27,"32",NA,NA,NA,NA,NA,NA,NA,15.5,12.9,3.28,NA,NA,7.7,105,NA,NA,NA,NA,NA,NA
1970-01-27,"34",NA,NA,NA,NA,NA,NA,NA,16.6,13,7.86,NA,NA,15.8,100,NA,NA,NA,NA,NA,NA
1970-01-27,"36",NA,NA,NA,NA,NA,NA,NA,15.6,13.2,12.5,NA,NA,23.6,135,NA,NA,NA,NA,NA,NA
1970-02-12,"32",NA,NA,NA,NA,20,NA,NA,11.8,13.6,NA,NA,NA,NA,NA,NA,20,NA,1.59,1.67510736730568,1.67510736730568
1970-02-12,"34",NA,NA,NA,NA,18,NA,NA,11.3,13.4,NA,NA,NA,NA,NA,NA,18,NA,1.5164,1.57033860331594,1.57033860331594
1970-02-12,"36",NA,NA,NA,NA,16,NA,NA,11,13.6,NA,NA,NA,NA,NA,NA,16,NA,1.4428,1.46095490456786,1.46095490456786
1970-06-06,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,NA,4.4,NA,NA,NA,NA,NA,NA,NA
1970-06-06,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,NA,12.4,84,NA,NA,NA,NA,NA,NA
1970-06-06,"32",NA,NA,NA,NA,NA,NA,NA,26.5,21.4,NA,39.1,NA,16.6,95,NA,NA,NA,NA,NA,NA
1970-06-06,"34",NA,NA,NA,NA,NA,NA,NA,28.5,22.5,NA,46.5,NA,22.4,99,NA,NA,NA,NA,NA,NA
1970-06-06,"36",NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,56.8,NA,29.9,117,NA,NA,NA,NA,NA,NA
1970-07-31,"21",NA,NA,NA,NA,NA,NA,NA,32.1,15.8,NA,19.8,NA,3.7,NA,NA,NA,NA,NA,NA,NA
1970-07-31,"22",NA,NA,NA,NA,NA,NA,NA,31.2,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-07-31,"24",NA,NA,NA,NA,NA,NA,NA,31.5,18.2,NA,22.8,NA,5.2,NA,NA,NA,NA,NA,NA,NA
1970-07-31,"30",NA,NA,NA,NA,NA,NA,NA,30.5,20.8,NA,29.6,NA,14.4,NA,NA,NA,NA,NA,NA,NA
1970-07-31,"32",NA,NA,NA,NA,NA,NA,NA,30.5,20.9,NA,33.9,NA,15.8,NA,NA,NA,NA,NA,NA,NA
1970-07-31,"34",NA,NA,NA,NA,NA,NA,NA,28.8,21.4,NA,50.2,NA,29.2,NA,NA,NA,NA,NA,NA,NA
1970-07-31,"36",NA,NA,NA,NA,NA,NA,NA,28.2,21.3,NA,56,NA,34.8,NA,NA,NA,NA,NA,NA,NA
1970-09-29,"30",NA,NA,NA,NA,NA,NA,NA,31.3,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-09-29,"32",NA,NA,NA,NA,NA,NA,NA,31.5,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-09-29,"34",NA,NA,NA,NA,NA,NA,NA,31.1,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-09-29,"36",NA,NA,NA,NA,NA,NA,NA,30.4,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-09-30,"30",NA,NA,NA,NA,NA,NA,NA,31,20,NA,17.9,NA,12.8,64,NA,NA,NA,NA,NA,NA
1970-09-30,"32",NA,NA,NA,NA,NA,NA,NA,31.5,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-09-30,"34",NA,NA,NA,NA,NA,NA,NA,30.4,21.2,NA,23.1,NA,19.6,86,NA,NA,NA,NA,NA,NA
1970-09-30,"36",NA,NA,NA,NA,NA,NA,NA,30.8,21.2,NA,36.6,NA,27.7,100,NA,NA,NA,NA,NA,NA
1970-10-01,"21",NA,NA,NA,NA,6,NA,NA,30.5,14.7,NA,17.8,NA,NA,44,NA,6,NA,1.0748,0.800788776895504,0.800788776895504
1970-10-01,"22",NA,NA,NA,NA,NA,NA,NA,29.7,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-10-01,"24",NA,NA,NA,NA,NA,NA,NA,29.7,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-10-01,"30",NA,NA,NA,NA,NA,NA,NA,31.5,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-10-02,"21",NA,NA,NA,NA,NA,NA,NA,30,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-10-02,"22",NA,NA,NA,NA,NA,NA,NA,28.8,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-10-02,"24",NA,NA,NA,NA,NA,NA,NA,28.7,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-12-23,"21",NA,NA,NA,NA,NA,NA,NA,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-12-23,"22",NA,NA,NA,NA,6,NA,NA,19,10.1,NA,22.9,NA,3.8,NA,NA,6,NA,1.0748,0.800788776895504,0.800788776895504
1970-12-23,"24",NA,NA,NA,NA,6,NA,NA,17.4,10,NA,24.5,NA,4,NA,NA,6,NA,1.0748,0.800788776895504,0.800788776895504
1970-12-23,"27",NA,NA,NA,NA,NA,NA,NA,19.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-12-23,"30",NA,NA,NA,NA,11,NA,NA,20.4,10,NA,NA,NA,NA,NA,NA,11,NA,1.2588,1.16114104560199,1.16114104560199
1970-12-23,"32",NA,NA,NA,NA,3,NA,NA,19.85,9.5,NA,52,NA,16.3,NA,NA,3,NA,0.9644,0.523584269888023,0.523584269888023
1970-12-23,"34",NA,NA,NA,NA,NA,NA,NA,19.25,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-12-23,"36",NA,NA,NA,NA,NA,NA,NA,18.35,9.5,NA,62.3,NA,22.5,NA,NA,NA,NA,NA,NA,NA
1971-03-02,"22",NA,NA,NA,NA,NA,NA,NA,26,10,NA,26.5,NA,4.3,NA,NA,NA,NA,NA,NA,NA
1971-03-02,"24",NA,NA,NA,NA,NA,NA,NA,24.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-03-02,"30",NA,NA,NA,NA,NA,NA,NA,20.8,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-03-02,"32",NA,NA,NA,NA,NA,NA,NA,19.5,9,NA,62.9,NA,14.4,NA,NA,NA,NA,NA,NA,NA
1971-03-02,"36",NA,NA,NA,NA,NA,NA,NA,18.5,8.8,NA,72.6,NA,23.3,NA,NA,NA,NA,NA,NA,NA
1971-05-13,"21",NA,NA,9,NA,NA,NA,NA,23,14.5,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
1971-05-13,"22",NA,NA,8.9,NA,NA,NA,NA,25.5,13,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA
1971-05-13,"24",NA,NA,8.3,NA,NA,NA,NA,25.8,14.5,NA,18.3,NA,4.3,83,NA,NA,8.3,NA,NA,NA
1971-05-13,"30",NA,NA,8.1,NA,NA,NA,NA,23.6,16.3,NA,NA,NA,NA,68,NA,NA,8.1,NA,NA,NA
1971-05-13,"32",NA,NA,8,NA,NA,NA,NA,23,17.5,NA,NA,NA,NA,56,NA,NA,8,NA,NA,NA
1971-05-13,"34",NA,NA,8,NA,NA,NA,NA,22.9,17.5,NA,37.1,NA,16,66,NA,NA,8,NA,NA,NA
1971-05-13,"36",NA,NA,7.8,NA,NA,NA,NA,22.5,17.5,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA
1971-06-29,"21",NA,NA,NA,NA,NA,NA,NA,27.8,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-06-29,"22",NA,NA,NA,NA,NA,NA,NA,27.7,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-06-29,"24",NA,NA,NA,NA,NA,NA,NA,27.2,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-06-30,"21",NA,NA,8,NA,NA,NA,NA,27.7,15.5,NA,22.8,NA,4.6,88,NA,NA,8,NA,NA,NA
1971-06-30,"22",NA,NA,8.1,NA,NA,NA,NA,28.2,15.5,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA
1971-06-30,"24",NA,NA,9.5,NA,NA,NA,NA,27.6,16.7,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA
1971-06-30,"30",NA,NA,9.1,NA,10,NA,NA,26.4,19.6,NA,25.5,NA,11.4,NA,NA,10,9.1,1.222,1.09524495497424,1.09524495497424
1971-06-30,"32",NA,NA,9.9,NA,15,NA,NA,26.4,19.9,NA,17.7,NA,12,NA,NA,15,9.9,1.406,1.40428482620167,1.40428482620167
1971-06-30,"34",NA,NA,9.4,NA,2,NA,NA,25.8,20.1,NA,31.3,NA,17.8,NA,NA,2,9.4,0.9276,0.408359486194699,0.408359486194699
1971-06-30,"36",NA,NA,8.7,NA,10,NA,NA,24.8,20.3,NA,66.6,NA,33.9,116,NA,10,8.7,1.222,1.09524495497424,1.09524495497424
1971-08-04,"21",NA,NA,7.8,NA,11,NA,NA,29.2,17.5,NA,21.2,NA,5.4,71.6,NA,11,7.8,1.2588,1.16114104560199,1.16114104560199
1971-08-04,"22",NA,NA,7.8,NA,NA,NA,NA,29.4,17.5,NA,20.8,NA,5,71.3,NA,NA,7.8,NA,NA,NA
1971-08-04,"24",NA,NA,7.8,NA,NA,NA,NA,29.2,17.5,NA,18.5,NA,6,79,NA,NA,7.8,NA,NA,NA
1971-08-04,"27",NA,NA,7.8,NA,6,NA,NA,28.6,19.6,NA,18.8,NA,8.4,83.7,NA,6,7.8,1.0748,0.800788776895504,0.800788776895504
1971-08-04,"30",NA,NA,7.4,NA,13,NA,NA,28,21,NA,16.2,NA,11.9,75.7,NA,13,7.4,1.3324,1.28634817983412,1.28634817983412
1971-08-04,"32",NA,NA,7.3,NA,9,NA,NA,27.8,22,NA,21.4,NA,14.8,79.5,NA,9,7.3,1.1852,1.02674339952874,1.02674339952874
1971-08-04,"34",NA,NA,7,NA,8,NA,NA,26.3,22.5,NA,39.5,NA,24.3,96.6,NA,8,7,1.1484,0.955224435103823,0.955224435103823
1971-08-04,"36",NA,NA,6.3,NA,12,NA,NA,25.6,22.5,NA,56.6,NA,32.3,101,NA,12,6.3,1.2956,1.22475540630535,1.22475540630535
1971-09-13,"21",NA,NA,7.4,NA,NA,NA,NA,27.7,18.5,NA,14.1,NA,4,73,NA,NA,7.4,NA,NA,NA
1971-09-13,"22",NA,NA,7.3,NA,NA,NA,NA,28.4,18,NA,14.4,NA,4,70,NA,NA,7.3,NA,NA,NA
1971-09-13,"24",NA,NA,7.3,NA,NA,NA,NA,27.9,20,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA
1971-09-13,"27",NA,NA,7.1,NA,NA,NA,NA,29.4,21,NA,19.6,NA,8.3,101,NA,NA,7.1,NA,NA,NA
1971-09-13,"30",NA,NA,7,NA,NA,NA,NA,28.9,23,NA,30.7,NA,18.5,122,NA,NA,7,NA,NA,NA
1971-09-13,"32",NA,NA,7.1,NA,NA,NA,NA,28.4,23.8,NA,39.2,NA,23.7,129,NA,NA,7.1,NA,NA,NA
1971-09-13,"34",NA,NA,6.8,NA,NA,NA,NA,28.1,24.5,NA,54.5,NA,32.7,136,NA,NA,6.8,NA,NA,NA
1971-09-13,"36",NA,NA,6.3,NA,NA,NA,NA,26.5,24.5,NA,61,NA,37.6,139,NA,NA,6.3,NA,NA,NA
1971-09-17,"21",NA,NA,6.75,NA,10,NA,NA,27.35,18,NA,15.35,NA,4.7,70.5,NA,10,6.75,1.222,1.09524495497424,1.09524495497424
1971-09-17,"22",NA,NA,6.6,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA
1971-09-17,"24",NA,NA,6.55,NA,12,NA,NA,NA,21,NA,18.3,NA,6.8,91,NA,12,6.55,1.2956,1.22475540630535,1.22475540630535
1971-09-17,"27",NA,NA,7.3,NA,11,NA,NA,29.1,21,NA,16.3,NA,7.3,90.5,NA,11,7.3,1.2588,1.16114104560199,1.16114104560199
1971-09-17,"30",NA,NA,5.95,NA,NA,NA,NA,29.1,22.5,NA,29.75,NA,14.8,119.5,NA,NA,5.95,NA,NA,NA
1971-09-17,"32",NA,NA,6.3,NA,7,NA,NA,28.85,23.25,NA,34.9,NA,18.1,128.5,NA,7,6.3,1.1116,0.880149324290776,0.880149324290776
1971-09-17,"34",NA,NA,6,NA,NA,NA,NA,28.5,23.5,NA,37.2,NA,20.9,134,NA,NA,6,NA,NA,NA
1971-09-17,"36",NA,NA,5.2,NA,9,NA,NA,27.95,24.25,NA,52.45,NA,28.85,141,NA,9,5.2,1.1852,1.02674339952874,1.02674339952874
1971-09-24,"21",NA,NA,7.3,NA,NA,NA,NA,27.3,17.5,NA,14.3,NA,NA,66,NA,NA,7.3,NA,NA,NA
1971-09-24,"22",NA,NA,7,NA,16,NA,NA,27.3,18.2,NA,14.4,NA,NA,67,NA,16,7,1.4428,1.46095490456786,1.46095490456786
1971-09-24,"24",NA,NA,6.8,NA,15,NA,NA,28,19.7,NA,17.1,NA,7.1,92,NA,15,6.8,1.406,1.40428482620167,1.40428482620167
1971-09-24,"27",NA,NA,6.6,NA,14,NA,NA,29.1,20.4,NA,20,NA,11.4,110,NA,14,6.6,1.3692,1.34613230652432,1.34613230652432
1971-09-24,"30",NA,NA,6,NA,14,NA,NA,29.1,21,NA,29.7,NA,17.7,130,NA,14,6,1.3692,1.34613230652432,1.34613230652432
1971-09-24,"32",NA,NA,6.2,NA,12,NA,NA,29,21.1,NA,34.5,NA,21.9,NA,NA,12,6.2,1.2956,1.22475540630535,1.22475540630535
1971-09-24,"34",NA,NA,6.1,NA,9,NA,NA,28.4,21,NA,42.6,NA,27.5,144,NA,9,6.1,1.1852,1.02674339952874,1.02674339952874
1971-09-24,"36",NA,NA,5.8,NA,8,NA,NA,27.5,21,NA,54.5,NA,34.4,151,NA,8,5.8,1.1484,0.955224435103823,0.955224435103823
1971-12-07,"21",NA,NA,NA,NA,22,NA,NA,28.6,10.5,NA,21,NA,3.3,68,NA,22,NA,1.6636,1.77589123888241,1.77589123888241
1971-12-07,"22",NA,NA,NA,NA,22,NA,NA,28,10.5,NA,21,NA,3.2,70,NA,22,NA,1.6636,1.77589123888241,1.77589123888241
1971-12-07,"24",NA,NA,NA,NA,42,NA,NA,28.6,10.7,NA,27.2,NA,8.1,100,NA,42,NA,2.3996,2.63975168870492,2.63975168870492
1971-12-07,"27",NA,NA,NA,NA,43,NA,NA,28.4,10.5,NA,34.4,NA,NA,113,NA,43,NA,2.4364,2.67810391663568,2.67810391663568
1971-12-09,"18",NA,NA,8.1,NA,NA,NA,NA,28,9.8,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA
1971-12-09,"21",NA,NA,8.2,NA,7,NA,NA,27.2,9.85,NA,20,NA,3.3,72,NA,7,8.2,1.1116,0.880149324290776,0.880149324290776
1971-12-09,"22",NA,NA,8.5,NA,NA,NA,NA,27.1,9.8,NA,20.7,NA,3.3,76,NA,NA,8.5,NA,NA,NA
1971-12-09,"24",NA,NA,8.8,NA,NA,NA,NA,28.2,10.1,NA,26.9,NA,6.3,96,NA,NA,8.8,NA,NA,NA
1971-12-09,"27",NA,NA,8.9,NA,22,NA,NA,28.5,9.95,NA,37.2,NA,11.45,113.5,NA,22,8.9,1.6636,1.77589123888241,1.77589123888241
1971-12-09,"30",NA,NA,8.9,NA,30,NA,NA,28,9.4,NA,54.6,NA,15.65,124,NA,30,8.9,1.958,2.14776415767314,2.14776415767314
1971-12-09,"32",NA,NA,8.9,NA,NA,NA,NA,27.3,8.9,NA,77.6,NA,22.6,130,NA,NA,8.9,NA,NA,NA
1971-12-09,"34",NA,NA,8.8,NA,41,NA,NA,26.2,8.8,NA,97.7,NA,29,153,NA,41,8.8,2.3628,2.60104439903626,2.60104439903626
1971-12-09,"36",NA,NA,8.4,NA,62,NA,NA,24.8,8.8,NA,108.5,NA,36.4,165,NA,62,8.4,3.1356,3.35156284334197,3.35156284334197
1972-02-01,"21",NA,NA,8.9,NA,NA,NA,NA,27,8.8,NA,20.8,NA,3.3,66,NA,NA,8.9,NA,NA,NA
1972-02-01,"22",NA,NA,8.9,NA,NA,NA,NA,27.4,8.9,NA,21.2,NA,3,68,NA,NA,8.9,NA,NA,NA
1972-02-01,"24",NA,NA,9,NA,NA,NA,NA,26.8,8.8,NA,22.7,NA,3.1,71,NA,NA,9,NA,NA,NA
1972-02-01,"27",NA,NA,9.6,NA,NA,NA,NA,26.8,8.5,NA,33.2,NA,6.6,92,NA,NA,9.6,NA,NA,NA
1972-02-01,"30",NA,NA,NA,NA,NA,NA,NA,26.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-02-04,"21",NA,NA,9.15,NA,10,NA,NA,26,8.6,NA,24.2,NA,3.6,87,NA,10,9.15,1.222,1.09524495497424,1.09524495497424
1972-02-04,"22",NA,NA,8.9,NA,NA,NA,NA,26.2,8.7,NA,23.5,NA,2.8,84,NA,NA,8.9,NA,NA,NA
1972-02-04,"24",NA,NA,9.1,NA,16,NA,NA,26.8,8.8,NA,27.9,NA,5.2,89,NA,16,9.1,1.4428,1.46095490456786,1.46095490456786
1972-02-04,"27",NA,NA,9.35,NA,11,NA,NA,26.7,8.6,NA,35.9,NA,8.2,93,NA,11,9.35,1.2588,1.16114104560199,1.16114104560199
1972-02-04,"30",NA,NA,9,NA,17,NA,NA,26.1,8.5,NA,54.3,NA,12.8,114,NA,17,9,1.4796,1.51626967809365,1.51626967809365
1972-02-04,"32",NA,NA,8.9,NA,34,NA,NA,25.4,8.6,NA,67.6,NA,16.3,121,NA,34,8.9,2.1052,2.31903785273006,2.31903785273006
1972-02-04,"34",NA,NA,8.8,NA,NA,NA,NA,24.9,8.3,NA,77.4,NA,18.1,125,NA,NA,8.8,NA,NA,NA
1972-02-04,"36",NA,NA,9.9,NA,45,NA,NA,24.1,8.3,NA,88.1,NA,24.7,129,NA,45,9.9,2.51,2.75378818517465,2.75378818517465
1972-04-03,"21",NA,NA,7.6,NA,7,NA,NA,28.1,12.95,NA,15.4,4.8,2.5,NA,NA,7,7.6,1.1116,0.880149324290776,0.880149324290776
1972-04-03,"22",NA,NA,7.7,NA,NA,NA,NA,28,13,NA,15.5,4.4,2.4,NA,NA,NA,7.7,NA,NA,NA
1972-04-03,"24",NA,NA,7.3,NA,9,NA,NA,28.25,13.1,NA,14.7,5.8,2.7,NA,NA,9,7.3,1.1852,1.02674339952874,1.02674339952874
1972-04-03,"27",NA,NA,8.2,NA,16,NA,NA,26.45,14.6,NA,12.8,7.9,5.3,NA,NA,16,8.2,1.4428,1.46095490456786,1.46095490456786
1972-04-03,"30",NA,NA,7.2,NA,20,NA,NA,26,14.9,NA,19.5,10.6,11.8,NA,NA,20,7.2,1.59,1.67510736730568,1.67510736730568
1972-04-03,"32",NA,NA,7.35,NA,14,NA,NA,25.6,15.75,NA,33.7,11.9,14.9,NA,NA,14,7.35,1.3692,1.34613230652432,1.34613230652432
1972-04-03,"34",NA,NA,6.1,NA,NA,NA,NA,24.4,16.1,NA,73.5,49.8,31,NA,NA,NA,6.1,NA,NA,NA
1972-04-03,"36",NA,NA,5.1,NA,20,NA,NA,23.25,16.05,NA,98.3,90.8,39.3,NA,NA,20,5.1,1.59,1.67510736730568,1.67510736730568
1972-04-13,"21",NA,NA,7.8,NA,NA,NA,NA,28.15,13.2,0.98,13.8,5.7,3.9,54,NA,NA,7.8,NA,NA,NA
